Server	Sets 	Games 	Points 	
Roger Federer  	1‑1	3‑1	15‑0	1st serve wide; forehand return down the middle (very deep); forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt (wide), unforced error. (5-shot rally)
Roger Federer  	1‑1	3‑1	30‑0	1st serve down the T; forehand return, forced error.
Roger Federer  	1‑1	3‑1	40‑0	1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand down the line; forehand crosscourt; backhand slice crosscourt; forehand down the line; forehand crosscourt, winner. (9-shot rally)
 				
Rafael Nadal  	1‑1	1‑4	0‑0	1st serve down the T; backhand return down the middle (deep); forehand down the middle; backhand down the middle; forehand down the middle; backhand drop shot inside-out (net), unforced error. (5-shot rally)
Rafael Nadal  	1‑1	1‑4	15‑0	1st serve wide; backhand return down the middle (deep); backhand crosscourt; forehand down the line; forehand crosscourt; backhand slice down the middle; forehand inside-out; forehand down the middle, forced error. (7-shot rally)
Rafael Nadal  	1‑1	1‑4	30‑0	1st serve down the T, fault (net). 2nd serve down the T; backhand return crosscourt (very deep); forehand down the line, forced error.
Rafael Nadal  	1‑1	1‑4	30‑15	1st serve to body; forehand return inside-in (very deep); backhand crosscourt; forehand crosscourt; backhand down the line, forced error. (4-shot rally)
Rafael Nadal  	1‑1	1‑4	30‑30	1st serve down the T; backhand return crosscourt (shallow); forehand down the line; forehand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt, forced error. (6-shot rally)
Rafael Nadal  	1‑1	1‑4	30‑40	1st serve wide; backhand return crosscourt (very deep); forehand, forced error.
 				
Roger Federer  	1‑1	5‑1	0‑0	1st serve wide; backhand return crosscourt (very deep); forehand down the middle; forehand down the middle; forehand crosscourt; backhand down the middle; backhand inside-out (net), unforced error. (6-shot rally)
Roger Federer  	1‑1	5‑1	0‑15	1st serve down the T; backhand return inside-out (very deep); forehand inside-out; forehand crosscourt; backhand down the middle; backhand inside-out; backhand down the middle; forehand crosscourt (wide), unforced error. (7-shot rally)
Roger Federer  	1‑1	5‑1	15‑15	1st serve wide, fault (net). 2nd serve wide; backhand return, forced error.
Roger Federer  	1‑1	5‑1	30‑15	1st serve down the T, fault (net). 2nd serve down the T; forehand return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand down the line (net), unforced error. (4-shot rally)
Roger Federer  	1‑1	5‑1	30‑30	1st serve down the T, fault (long). 2nd serve wide, fault (long), double fault.
Roger Federer  	1‑1	5‑1	30‑40	1st serve down the T, fault (net). 2nd serve down the T; forehand return down the middle (very deep); forehand down the middle; forehand down the middle; forehand crosscourt; backhand down the middle; forehand inside-out, winner. (7-shot rally)
Roger Federer  	1‑1	5‑1	40‑40	1st serve wide; backhand return, forced error.
Roger Federer  	1‑1	5‑1	AD‑40	1st serve down the T, fault (wide). 2nd serve wide; forehand return crosscourt (very deep); backhand drop shot down the middle, forced error.
Roger Federer  	1‑1	5‑1	40‑40	1st serve down the T, fault (net). 2nd serve wide; backhand return crosscourt (deep); forehand crosscourt (long), unforced error.
Roger Federer  	1‑1	5‑1	40‑AD	1st serve down the T; backhand return, forced error.
Roger Federer  	1‑1	5‑1	40‑40	1st serve down the T; forehand return, forced error.
Roger Federer  	1‑1	5‑1	AD‑40	1st serve wide, fault (net). 2nd serve down the T; forehand return down the middle (very deep); forehand crosscourt; backhand down the line; backhand crosscourt; forehand crosscourt; backhand approach shot down the line; backhand slice down the middle; backhand volley inside-out, winner. (9-shot rally)
 				
Rafael Nadal  	1‑2	0‑0	0‑0	1st serve to body; forehand return, forced error.
Rafael Nadal  	1‑2	0‑0	15‑0	1st serve wide; backhand return down the line (very deep), winner.
Rafael Nadal  	1‑2	0‑0	15‑15	1st serve down the T, fault (net). 2nd serve down the T; forehand return crosscourt (deep); backhand down the middle; backhand inside-out; backhand crosscourt; forehand down the line (net), unforced error. (5-shot rally)
Rafael Nadal  	1‑2	0‑0	30‑15	1st serve to body, fault (long). 2nd serve wide; forehand return down the middle (very deep); backhand crosscourt; forehand down the line; forehand crosscourt; backhand approach shot crosscourt; forehand down the middle, forced error. (6-shot rally)
Rafael Nadal  	1‑2	0‑0	30‑30	1st serve wide, fault (net). 2nd serve to body; backhand return inside-in (deep); forehand crosscourt; backhand slice crosscourt, forced error.
